product_id,question,answer_type,support_rate,answer
B00R1TAN7I,Does this product work well?,grounded_rag,0.5897435897435898,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 3; negative mentions: 2; neutral/mid: 0. The strongest matching review says: I liked the brush, it does the job.. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 5.0: I liked the brush, it does the job.
[2] rating 5.0: Does an amazing job, and doesn't pull or tear the hair, like plastic-bristle brushes do. Glad I bought it.
[3] rating 2.0: I ordered this brush because I've been hearing how boar bristles are the best for your hair. But this brush didn't work for my hair at all- didn't go through wet or dry hair, wasn't useful as a brush at all. I may try a ..."
B00R1TAN7I,Does this product work well?,ungrounded_template,0.38235294117647056,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
B00R1TAN7I,Are buyers happy with the smell or texture?,grounded_rag,0.6097560975609756,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 3; negative mentions: 1; neutral/mid: 1. The strongest matching review says: This has a strong chemical smell. My dog sniffed it. She backed up and growled at it!. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 1.0: This has a strong chemical smell. My dog sniffed it. She backed up and growled at it!
[2] rating 4.0: It's a hairbrush that's made out of hair. Holy moly! Want to know what it's like to brush your hair with hair? Well buddy boy have I got a brush for you, it's this one! Its hair that the fine people at GranNaturals cleve...
[3] rating 5.0: I wanted a hair brush that ripped out less hair when I used it. This thing is very gentle on my hair and I love it."
B00R1TAN7I,Are buyers happy with the smell or texture?,ungrounded_template,0.20588235294117646,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
B00R1TAN7I,Is the product easy to use?,grounded_rag,0.711864406779661,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 3; negative mentions: 2; neutral/mid: 0. The strongest matching review says: Overall good brush for the purpose. It is big.Really big be aware of dimensions if you are accostomed to a particular brush body. The bristles are very short and do not &#34;give&#34; or conform when you use it. For my use they could have b. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 4.0: Overall good brush for the purpose. It is big.Really big be aware of dimensions if you are accostomed to a particular brush body. The bristles are very short and do not &#34;give&#34; or conform when you use it. For my u...
[2] rating 5.0: I bought this brush because it was inexpensive and there was a buy one get one free promotion at the time. I honestly didn't expect much, but I always come to Amazon.com to get the best bargain for what I want, and am ne...
[3] rating 1.0: This product is a very poor choice for keeping brats in line. After only two solid minutes of swatting my 21 year old boy's behind, this product split right in two. Made it even worse when he started laughing. Look elsew..."
B00R1TAN7I,Is the product easy to use?,ungrounded_template,0.17647058823529413,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
B00R1TAN7I,Are there complaints about quality or packaging?,grounded_rag,0.5897435897435898,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 4; negative mentions: 1; neutral/mid: 0. The strongest matching review says: I bought this brush because it was inexpensive and there was a buy one get one free promotion at the time. I honestly didn't expect much, but I always come to Amazon.com to get the best bargain for what I want, and am never let down by qual. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 5.0: I bought this brush because it was inexpensive and there was a buy one get one free promotion at the time. I honestly didn't expect much, but I always come to Amazon.com to get the best bargain for what I want, and am ne...
[2] rating 5.0: This is a Quality Brush at a great Price----&#62; Thank You.
[3] rating 5.0: I bought this for my husband and he likes it. He assumed it was an expensive brush based on the quality."
B00R1TAN7I,Are there complaints about quality or packaging?,ungrounded_template,0.14705882352941177,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
B00R1TAN7I,Would buyers recommend it?,grounded_rag,0.5714285714285714,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 3; negative mentions: 2; neutral/mid: 0. The strongest matching review says: The handle is unfinished, the bristles are short, it’s unattractive, I felt misled by the photo. I certainly do not recommend this product.. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 1.0: The handle is unfinished, the bristles are short, it’s unattractive, I felt misled by the photo. I certainly do not recommend this product.
[2] rating 1.0: This has a strong chemical smell. My dog sniffed it. She backed up and growled at it!
[3] rating 5.0: good brush"
B00R1TAN7I,Would buyers recommend it?,ungrounded_template,0.11764705882352941,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
B07C533XCW,Does this product work well?,grounded_rag,0.627906976744186,"Based on 5 retrieved reviews, the evidence is mostly positive. Positive mentions: 5; negative mentions: 0; neutral/mid: 0. The strongest matching review says: if you have very curly hair. And you like to add extra moisture to it. This spray bottle does the trick. Might get more than one.. I would treat this as grounded only in the retrieved review snippets below.

[1] rating 5.0: if you have very curly hair. And you like to add extra moisture to it. This spray bottle does the trick. Might get more than one.
[2] rating 4.0: At first the bottle use to make this sound when I spray but after the week ended it stop now it work just fine now
[3] rating 5.0: I like this product. My only suggestion would be to add a grip to the portion if the bottle where the hand holds. I find it a bit slippery when applying product to my hair and have to go back and forth with spraying my h..."
B07C533XCW,Does this product work well?,ungrounded_template,0.13333333333333333,"Segbeauty empty bottle 160083 is likely a solid beauty product with pleasant performance and few issues. Most buyers probably find it easy to use, effective, and worth recommending."
