product_id,model,pros_f1,cons_f1,pred_pros,pred_cons,reference_pros,reference_cons
B01DX9HUP2,zero_shot_keyword,0.25396825396825395,0.026666666666666665,"Great price, great brushes! | These brush handles are very light and cheap and hot water will make the glue come loose and the handle will fall way from the brush head, but its an easy fix. | The bristles are very soft and are medium quality.","These brush handles are very light and cheap and hot water will make the glue come loose and the handle will fall way from the brush head, but its an easy fix. | I am a beginner with makeup, I've never really worn much of it so i figured i would get this brush set because its cheap. | They were cheap,and VERY SOFT😩😩💗<br />10/10 Awesome brushes.","Great price, great brushes! | They were cheap,and VERY SOFT😩😩💗<br />10/10 Awesome brushes. | Niece loves them !.",Just not worth it Two Stars.
B082QWWXV6,zero_shot_keyword,0.5454545454545454,0.05970149253731343,"I was expecting the bottle to be bigger & I really wish they would make a bigger size.<br />The twist top is really cool, and the sleek design looks great! | It smells pretty good and bonus it’s all natural! | No irritancy & LOVE the smell!!","Doesn’t mix bad with my body oils, like others can making you smell even worse as the day goes on.<br /> The smell is nice, smells like a perfume I’d use. | Earthy with some floral.<br /> Have been feeling dry, don’t know if it’s this or another product I’m using. | No irritancy & LOVE the smell!!","Doesn’t mix bad with my body oils, like others can making you smell even worse as the day goes on.<br /> The smell is nice, smells like a perfume I’d use. | I was expecting the bottle to be bigger & I really wish they would make a bigger size.<br />The twist top is really cool, and the sleek design looks great! | I would still highly recommend this soap to those with really sensitive skin.",No clear evidence in the sampled reviews.
B077DWJ4H5,zero_shot_keyword,1.0,0.0,"Very good product for teenagers pimples Love this product line! | Cheapest I’ve found and truly works, also works on my daughters acne. | Love this product line.",Very good product for teenagers pimples Love this product line! | Very satisfied and ordered more! | Love this product line.,"Cheapest I’ve found and truly works, also works on my daughters acne. | Very good product for teenagers pimples Love this product line! | Love this product line.",No clear evidence in the sampled reviews.
B003O4UZQI,zero_shot_keyword,1.0,0.13333333333333333,"I get comments all the time &#34;what are you wearing, smells amazing!&#34;.<br />Don't even need to wear perfume. | I love the feel & smell of this product. | wonderful my husband loves it The perfect moisturizer.",I love the feel & smell of this product.,"I get comments all the time &#34;what are you wearing, smells amazing!&#34;.<br />Don't even need to wear perfume. | I love the feel & smell of this product. | wonderful my husband loves it The perfect moisturizer.",No clear evidence in the sampled reviews.
B00XP86KXU,zero_shot_keyword,0.6538461538461537,0.1,"This polish is wonderful if you love a good glitter. | Good Looks great, with 2-3 coats.. | Beautiful all by itself!",Beautiful all by itself! | Fun sparkly nail polish. | Very happy with it.,"This polish is wonderful if you love a good glitter. | Good Looks great, with 2-3 coats.. | Looks great on nails, with 2-3 coats to build to a solid look.","I was expecting a dark sparkle polish but what came was an orange tinted sparkle polish, you have to put black polish on first and then this polish to get it to look like picture. | you have to put black polish on first and then this polish to get it to look like picture.. | Not at all like the picture....and it's not a gel nail polish."
B01DX9HUP2,fine_tuned_sentence_selector,0.8108108108108109,1.0,"Great price, great brushes! | Very happy with these | They were cheap,and VERY SOFT😩😩💗<br />10/10 Awesome brushes.",Just not worth it Two Stars.,"Great price, great brushes! | They were cheap,and VERY SOFT😩😩💗<br />10/10 Awesome brushes. | Niece loves them !.",Just not worth it Two Stars.
B082QWWXV6,fine_tuned_sentence_selector,0.22222222222222218,0.0,Great but too expensive to keep buying. | I really like that this cleanser is gentle enough for the entire body. | Well balanced overall great product Gentle enough for the most sensitive skin..,"Earthy with some floral.<br /> Have been feeling dry, don’t know if it’s this or another product I’m using. | Will update if I figure out it’s this. | I like this soap.","Doesn’t mix bad with my body oils, like others can making you smell even worse as the day goes on.<br /> The smell is nice, smells like a perfume I’d use. | I was expecting the bottle to be bigger & I really wish they would make a bigger size.<br />The twist top is really cool, and the sleek design looks great! | I would still highly recommend this soap to those with really sensitive skin.",No clear evidence in the sampled reviews.
B077DWJ4H5,fine_tuned_sentence_selector,1.0,0.052631578947368425,"Love this product line. | Very good product for teenagers pimples Love this product line! | Cheapest I’ve found and truly works, also works on my daughters acne.","Have used it for 3 months and see a difference in my skin. | Very satisfied and ordered more! | Cheapest I’ve found and truly works, also works on my daughters acne.","Cheapest I’ve found and truly works, also works on my daughters acne. | Very good product for teenagers pimples Love this product line! | Love this product line.",No clear evidence in the sampled reviews.
B003O4UZQI,fine_tuned_sentence_selector,0.8333333333333333,0.04878048780487805,"wonderful my husband loves it The perfect moisturizer. | wonderful my husband loves. | I get comments all the time &#34;what are you wearing, smells amazing!&#34;.<br />Don't even need to wear perfume.","I get comments all the time &#34;what are you wearing, smells amazing!&#34;.<br />Don't even need to wear perfume. | I love the feel & smell of this product. | wonderful my husband loves.","I get comments all the time &#34;what are you wearing, smells amazing!&#34;.<br />Don't even need to wear perfume. | I love the feel & smell of this product. | wonderful my husband loves it The perfect moisturizer.",No clear evidence in the sampled reviews.
B00XP86KXU,fine_tuned_sentence_selector,0.4489795918367347,1.0,Beautiful all by itself! | This polish is wonderful if you love a good glitter. | Very happy with it.,"you have to put black polish on first and then this polish to get it to look like picture.. | I was expecting a dark sparkle polish but what came was an orange tinted sparkle polish, you have to put black polish on first and then this polish to get it to look like picture. | Not at all like the picture....and it's not a gel nail polish.","This polish is wonderful if you love a good glitter. | Good Looks great, with 2-3 coats.. | Looks great on nails, with 2-3 coats to build to a solid look.","I was expecting a dark sparkle polish but what came was an orange tinted sparkle polish, you have to put black polish on first and then this polish to get it to look like picture. | you have to put black polish on first and then this polish to get it to look like picture.. | Not at all like the picture....and it's not a gel nail polish."
